id,DateTime,Sensor_Name(Identifier),co2(ppm),humidity(%RH),barometric_pressure(hPa),Temperature [°C],battery [%]
31938,2023-06-29 06:14:46.484,EM500 Co2,635,61.0,1010.7,24.5,
32234,2023-06-29 13:02:29.456,EM500 Co2,472,39.5,1010.9,41.2,100.0
32243,2023-06-29 13:11:48.221,EM500 Co2,467,46.0,1010.8,40.2,
32254,2023-06-29 13:21:48.191,EM500 Co2,463,38.0,1010.6,39.7,
32264,2023-06-29 13:31:48.203,EM500 Co2,436,35.0,1010.6,39.4,
32274,2023-06-29 13:41:48.167,EM500 Co2,427,33.0,1010.3,39.8,
32284,2023-06-29 13:51:48.148,EM500 Co2,450,32.5,1010.1,38.7,
32297,2023-06-29 14:01:48.111,EM500 Co2,472,30.0,1010.1,40.6,
32307,2023-06-29 14:11:48.086,EM500 Co2,442,31.5,1010.0,35.9,
32316,2023-06-29 14:21:47.727,EM500 Co2,442,35.0,1009.9,34.9,
32326,2023-06-29 14:31:47.749,EM500 Co2,433,35.0,1009.9,34.7,
32336,2023-06-29 14:41:47.658,EM500 Co2,443,34.5,1009.7,34.2,
32345,2023-06-29 14:51:47.613,EM500 Co2,442,35.0,1009.7,33.6,
32355,2023-06-29 15:01:47.599,EM500 Co2,433,35.0,1009.6,33.8,
32365,2023-06-29 15:11:47.573,EM500 Co2,456,35.0,1009.5,34.2,
32375,2023-06-29 15:21:47.570,EM500 Co2,448,34.5,1009.4,34.5,
32387,2023-06-29 15:31:47.537,EM500 Co2,448,36.0,1009.2,34.5,
32397,2023-06-29 15:41:47.493,EM500 Co2,454,35.5,1009.2,34.6,
32408,2023-06-29 15:51:47.497,EM500 Co2,428,35.0,1009.0,34.6,
32418,2023-06-29 16:01:47.432,EM500 Co2,424,35.5,1009.1,34.2,
32428,2023-06-29 16:11:47.423,EM500 Co2,449,36.5,1009.1,33.9,
32438,2023-06-29 16:21:47.424,EM500 Co2,436,37.0,1009.1,33.9,
32447,2023-06-29 16:31:49.091,EM500 Co2,434,35.0,1009.2,33.9,
32456,2023-06-29 16:41:47.340,EM500 Co2,440,34.5,1009.0,33.9,
32465,2023-06-29 16:51:47.321,EM500 Co2,444,35.0,1009.0,34.0,
32474,2023-06-29 17:01:47.291,EM500 Co2,440,37.0,1008.9,33.2,
32483,2023-06-29 17:11:47.271,EM500 Co2,446,36.5,1008.9,33.1,
32492,2023-06-29 17:21:47.252,EM500 Co2,449,38.0,1008.9,32.7,
32501,2023-06-29 17:31:47.218,EM500 Co2,446,38.0,1009.0,31.7,
32510,2023-06-29 17:41:48.882,EM500 Co2,452,40.0,1009.1,30.7,
32519,2023-06-29 17:51:47.165,EM500 Co2,461,46.0,1009.1,29.3,
32528,2023-06-29 18:01:47.113,EM500 Co2,464,44.5,1009.2,28.4,
32536,2023-06-29 18:11:47.089,EM500 Co2,450,45.5,1009.2,27.8,
32545,2023-06-29 18:21:47.107,EM500 Co2,460,47.5,1009.2,27.7,
32554,2023-06-29 18:31:47.042,EM500 Co2,447,46.0,1009.3,27.3,
32563,2023-06-29 18:41:46.977,EM500 Co2,451,46.5,1009.2,27.0,
32573,2023-06-29 18:51:48.696,EM500 Co2,468,46.0,1009.2,26.4,
32582,2023-06-29 19:01:46.946,EM500 Co2,439,47.0,1009.2,26.1,
32591,2023-06-29 19:11:46.929,EM500 Co2,469,47.0,1009.3,25.8,
32600,2023-06-29 19:21:46.907,EM500 Co2,460,48.0,1009.3,25.4,
32609,2023-06-29 19:31:46.871,EM500 Co2,481,48.5,1009.3,25.0,
32618,2023-06-29 19:41:46.841,EM500 Co2,450,48.5,1009.3,25.0,
32628,2023-06-29 19:51:46.848,EM500 Co2,464,48.5,1009.6,25.2,
32637,2023-06-29 20:01:46.777,EM500 Co2,444,48.5,1009.6,25.3,
32646,2023-06-29 20:11:46.741,EM500 Co2,461,47.5,1009.6,25.3,
