id,DateTime,sensor_name,line_no,electrical_conductivity(μS/cm),humidity(Soil_Moisture_level(%RH)),Soil_Temperature[°C],Battery_level(%)
32299,2023-06-29 14:04:16.101,EM500_SMTC_2,2,723,31.9,29.1,
32309,2023-06-29 14:14:17.491,EM500_SMTC_2,2,723,31.9,29.0,
32319,2023-06-29 14:24:18.856,EM500_SMTC_2,2,723,31.74,29.0,
32329,2023-06-29 14:34:20.229,EM500_SMTC_2,2,722,31.74,29.0,
32348,2023-06-29 14:54:22.965,EM500_SMTC_2,2,723,31.61,28.9,
32358,2023-06-29 15:04:24.328,EM500_SMTC_2,2,720,31.55,28.8,
32368,2023-06-29 15:14:25.689,EM500_SMTC_2,2,720,31.48,28.8,
32378,2023-06-29 15:24:27.071,EM500_SMTC_2,2,721,31.48,28.7,
32390,2023-06-29 15:34:28.426,EM500_SMTC_2,2,722,31.41,28.7,
32401,2023-06-29 15:44:29.799,EM500_SMTC_2,2,722,31.41,28.7,
32411,2023-06-29 15:54:31.159,EM500_SMTC_2,2,723,31.41,28.6,
32421,2023-06-29 16:04:32.525,EM500_SMTC_2,2,723,31.41,28.6,
32431,2023-06-29 16:14:33.890,EM500_SMTC_2,2,726,31.35,28.5,
32440,2023-06-29 16:24:35.258,EM500_SMTC_2,2,725,31.35,28.4,
32449,2023-06-29 16:34:36.631,EM500_SMTC_2,2,726,31.35,28.4,
32458,2023-06-29 16:44:37.971,EM500_SMTC_2,2,726,31.35,28.3,
32467,2023-06-29 16:54:39.343,EM500_SMTC_2,2,727,31.21,28.3,
32476,2023-06-29 17:04:40.707,EM500_SMTC_2,2,728,31.21,28.2,
32485,2023-06-29 17:14:42.065,EM500_SMTC_2,2,729,31.21,28.1,
32494,2023-06-29 17:24:43.421,EM500_SMTC_2,2,730,31.21,28.1,
32503,2023-06-29 17:34:44.780,EM500_SMTC_2,2,730,31.21,28.0,
32512,2023-06-29 17:44:46.155,EM500_SMTC_2,2,731,31.21,28.0,
32521,2023-06-29 17:54:47.511,EM500_SMTC_2,2,732,31.21,27.9,
32530,2023-06-29 18:04:48.871,EM500_SMTC_2,2,732,31.13,27.9,
32537,2023-06-29 18:14:50.235,EM500_SMTC_2,2,733,31.13,27.8,
32547,2023-06-29 18:24:51.610,EM500_SMTC_2,2,734,31.13,27.7,
32556,2023-06-29 18:34:52.951,EM500_SMTC_2,2,733,31.13,27.7,
32565,2023-06-29 18:44:54.320,EM500_SMTC_2,2,735,31.13,27.6,
32575,2023-06-29 18:54:55.700,EM500_SMTC_2,2,734,31.13,27.6,
32584,2023-06-29 19:04:57.045,EM500_SMTC_2,2,735,31.07,27.5,
32593,2023-06-29 19:14:58.418,EM500_SMTC_2,2,735,31.07,27.5,
32602,2023-06-29 19:24:59.768,EM500_SMTC_2,2,734,31.07,27.4,
32611,2023-06-29 19:35:01.134,EM500_SMTC_2,2,735,31.07,27.4,
32620,2023-06-29 19:45:02.507,EM500_SMTC_2,2,735,31.0,27.3,
32630,2023-06-29 19:55:03.875,EM500_SMTC_2,2,735,31.0,27.2,
32639,2023-06-29 20:05:05.216,EM500_SMTC_2,2,735,31.0,27.2,
32648,2023-06-29 20:15:06.606,EM500_SMTC_2,2,735,31.0,27.1,
32657,2023-06-29 20:25:07.954,EM500_SMTC_2,2,735,31.0,27.0,
32666,2023-06-29 20:35:09.308,EM500_SMTC_2,2,735,31.0,27.0,
32675,2023-06-29 20:45:10.689,EM500_SMTC_2,2,736,30.93,26.9,
32684,2023-06-29 20:55:12.050,EM500_SMTC_2,2,736,30.93,26.8,
32692,2023-06-29 21:05:13.405,EM500_SMTC_2,2,736,30.93,26.8,
32701,2023-06-29 21:15:14.774,EM500_SMTC_2,2,736,30.93,26.7,
32710,2023-06-29 21:25:16.131,EM500_SMTC_2,2,736,30.93,26.7,
32719,2023-06-29 21:35:17.487,EM500_SMTC_2,2,737,30.86,26.6,
32728,2023-06-29 21:45:18.840,EM500_SMTC_2,2,737,30.86,26.6,
32737,2023-06-29 21:55:20.201,EM500_SMTC_2,2,737,30.86,26.5,
32746,2023-06-29 22:05:21.556,EM500_SMTC_2,2,737,30.86,26.5,
32755,2023-06-29 22:15:22.917,EM500_SMTC_2,2,737,30.86,26.4,
32764,2023-06-29 22:25:24.296,EM500_SMTC_2,2,737,30.86,26.4,
32773,2023-06-29 22:35:25.640,EM500_SMTC_2,2,737,30.86,26.3,
32782,2023-06-29 22:45:26.989,EM500_SMTC_2,2,737,30.8,26.3,
32791,2023-06-29 22:55:28.345,EM500_SMTC_2,2,737,30.8,26.2,
32800,2023-06-29 23:05:29.712,EM500_SMTC_2,2,737,30.8,26.2,
32809,2023-06-29 23:15:31.086,EM500_SMTC_2,2,738,30.8,26.1,
32818,2023-06-29 23:25:32.433,EM500_SMTC_2,2,738,30.8,26.1,
