id,DateTime,Water_Sensor_name(Identifier),line_number,Water_volume_in_m3
31605,2023-06-28 22:19:22.714,TalkPool_OY1310_1,1,0
31612,2023-06-28 22:29:23.563,TalkPool_OY1310_1,1,0
31619,2023-06-28 22:39:23.512,TalkPool_OY1310_1,1,0
31626,2023-06-28 22:49:23.289,TalkPool_OY1310_1,1,0
31633,2023-06-28 22:59:23.995,TalkPool_OY1310_1,1,0
31644,2023-06-28 23:19:22.291,TalkPool_OY1310_1,1,0
31651,2023-06-28 23:29:22.402,TalkPool_OY1310_1,1,0
31658,2023-06-28 23:39:22.346,TalkPool_OY1310_1,1,0
31665,2023-06-28 23:49:22.308,TalkPool_OY1310_1,1,0
31672,2023-06-28 23:59:23.044,TalkPool_OY1310_1,1,0
31679,2023-06-29 00:09:30.883,TalkPool_OY1310_1,1,0
31686,2023-06-29 00:19:23.110,TalkPool_OY1310_1,1,0
31693,2023-06-29 00:29:23.779,TalkPool_OY1310_1,1,0
31700,2023-06-29 00:39:23.799,TalkPool_OY1310_1,1,0
31713,2023-06-29 00:59:23.407,TalkPool_OY1310_1,1,0
31720,2023-06-29 01:09:24.094,TalkPool_OY1310_1,1,0
31727,2023-06-29 01:19:24.794,TalkPool_OY1310_1,1,0
31734,2023-06-29 01:29:25.328,TalkPool_OY1310_1,1,0
31741,2023-06-29 01:39:25.957,TalkPool_OY1310_1,1,0
31748,2023-06-29 01:49:26.402,TalkPool_OY1310_1,1,0
31755,2023-06-29 01:59:26.664,TalkPool_OY1310_1,1,0
31762,2023-06-29 02:09:26.984,TalkPool_OY1310_1,1,0
31769,2023-06-29 02:19:27.799,TalkPool_OY1310_1,1,0
31776,2023-06-29 02:29:28.445,TalkPool_OY1310_1,1,0
31783,2023-06-29 02:39:28.180,TalkPool_OY1310_1,1,0
31796,2023-06-29 02:59:27.563,TalkPool_OY1310_1,1,0
31803,2023-06-29 03:09:27.343,TalkPool_OY1310_1,1,0
31810,2023-06-29 03:19:27.641,TalkPool_OY1310_1,1,0
31817,2023-06-29 03:29:27.017,TalkPool_OY1310_1,1,0
31824,2023-06-29 03:39:26.883,TalkPool_OY1310_1,1,0
31831,2023-06-29 03:49:26.629,TalkPool_OY1310_1,1,0
31838,2023-06-29 03:59:27.298,TalkPool_OY1310_1,1,0
31845,2023-06-29 04:09:27.819,TalkPool_OY1310_1,1,0
31852,2023-06-29 04:19:27.638,TalkPool_OY1310_1,1,0
31859,2023-06-29 04:29:27.463,TalkPool_OY1310_1,1,0
31866,2023-06-29 04:39:27.258,TalkPool_OY1310_1,1,0
31873,2023-06-29 04:49:26.838,TalkPool_OY1310_1,1,0
31879,2023-06-29 04:59:27.874,TalkPool_OY1310_1,1,0
31886,2023-06-29 05:09:27.679,TalkPool_OY1310_1,1,0
31893,2023-06-29 05:19:27.088,TalkPool_OY1310_1,1,0
31906,2023-06-29 05:39:27.480,TalkPool_OY1310_1,1,0
31912,2023-06-29 05:49:28.461,TalkPool_OY1310_1,1,0
31919,2023-06-29 05:59:28.701,TalkPool_OY1310_1,1,0
31928,2023-06-29 06:09:28.887,TalkPool_OY1310_1,1,0
31940,2023-06-29 06:19:28.925,TalkPool_OY1310_1,1,0
31953,2023-06-29 06:39:29.148,TalkPool_OY1310_1,1,0
31966,2023-06-29 06:59:30.821,TalkPool_OY1310_1,1,0
31973,2023-06-29 07:09:37.406,TalkPool_OY1310_1,1,0
31988,2023-06-29 07:29:38.527,TalkPool_OY1310_1,1,0
31995,2023-06-29 07:39:30.691,TalkPool_OY1310_1,1,0
32002,2023-06-29 07:49:30.165,TalkPool_OY1310_1,1,0
32012,2023-06-29 07:59:30.545,TalkPool_OY1310_1,1,0
32020,2023-06-29 08:09:30.078,TalkPool_OY1310_1,1,0
32031,2023-06-29 08:19:30.549,TalkPool_OY1310_1,1,0
32039,2023-06-29 08:29:30.393,TalkPool_OY1310_1,1,0
32047,2023-06-29 08:39:29.749,TalkPool_OY1310_1,1,0
32054,2023-06-29 08:49:30.571,TalkPool_OY1310_1,1,0
32061,2023-06-29 08:59:31.273,TalkPool_OY1310_1,1,0
32068,2023-06-29 09:09:30.588,TalkPool_OY1310_1,1,0
32075,2023-06-29 09:19:30.535,TalkPool_OY1310_1,1,0
